Country,"Current expenditure, % GDP","Curr exp, per capita US$PPP","GovtCompIns, % curr exp","GovtCompIns, per capita US$PPP","OOP payments, % curr exp","OOP payments, per capita US$PPP",Physicians,Nurses,Medical graduates,Nursing graduates,Hospital beds,Psychiatric care beds,MRI,CT scanners,Doctor constulations,Inpatient care discharges,"ALOS, inpatient care",LE Total population at birth,LE Females at 65,LE Males at 65
Norway,10.182,6186.92,85.483,5288.751,14.172,876.824,4.66,17.67,11.1,79.8,3.6,1.07,20,18.3,4.5,16166.6,6.5,82.7,19.3,21.6
Poland,6.288,2056.358,71.775,1475.946,20.588,423.357,2.38,5.1,10.95,21.07,6.62,0.65,7.93,16.88,7.6,18151.8,7,77.9,15.9,20.2
Portugal,9.099,2861.383,66.464,1901.778,27.354,782.704,4.97,6.7,16.09,24.48,3.39,0.64,8.25,23.79,4.1,10985.6,9.1,81.5,18.3,22.1
Slovak Republic,6.729,2290.33,80.071,1833.896,18.712,409.383,3.42,5.65,16.88,30.96,5.82,0.81,9.56,17.28,10.9,19507.7,7.3,77.3,15.3,19.1
Slovenia,7.946,2859.446,72.931,2085.419,12.037,344.191,3.1,9.92,17.47,75.4,4.5,0.66,11.61,15,6.6,17613,7,81.1,17.6,21.7
Spain,8.86,3322.619,70.468,2341.375,23.566,759.799,3.88,5.74,14.48,21.71,2.97,0.36,16.31,18.59,7.3,11452.5,7.3,83.4,19.3,23.4
Sweden,11.037,5447.109,83.888,4569.494,14.812,806.833,4.12,10.9,11.46,21.71,2.22,0.43,14.02,18.49,2.8,13096.1,5.7,82.5,19.2,21.5
Switzerland,12.183,7316.605,63.696,4660.415,28.948,2068.844,4.3,17.23,11.19,100.88,4.53,0.93,23.31,39.28,4.3,17066.1,8.1,83.6,20,22.8
Turkey,4.172,1226.585,78.032,957.131,17.384,206.106,1.87,2.07,10.62,16.92,2.81,0.05,11.01,14.77,8.9,17069.9,4.1,78.1,16,19.2
United Kingdom,9.768,4069.569,77.121,3138.498,15.957,629.167,2.81,7.83,12.87,29.44,2.54,0.38,7.23,9.46,5,13144.4,6.9,81.3,18.8,21.1
United States,16.937,10586.084,84.536,8949,10.993,1121.994,2.61,11.74,7.76,61.68,2.77,0.21,37.56,42.64,4,12549,6.1,78.6,18.1,20.6
